issuer_name,cusip,isin,figi,meeting_date,date_parsed_w_certainty,vote_description,other_vote_description,vote_source,management_recommendation,how_voted,shares_voted,total_shares_voted,shares_on_loan,vote_manager,vote_series,vote_other_info,accession,date_recorded,order_recorded,filer_cik,filer_name,fund_id,fund_id_type
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Advisory resolution to approve executive compensation,,ISSUER,FOR,FOR,2211435.0,2211435.0,0.0,,,,0000053417-24-000064,2024-09-18,0,0000053417,JENNISON ASSOCIATES LLC,0000053417,filer_cik
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Advisory resolution to approve executive compensation,,ISSUER,FOR,FOR,181418.0,181418.0,0.0,,,,0000313028-24-000036,2024-09-18,0,0000313028,BARROW HANLEY MEWHINNEY & STRAUSS LLC,0000313028,filer_cik
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Advisory resolution to approve executive compensation,,,FOR,FOR,60296.0,60296.0,0.0,,,,0000315080-24-000003,2024-09-18,0,0000315080,BANK OF HAWAII,0000315080,filer_cik
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Advisory resolution to approve executive compensation,,,FOR,FOR,113284.0,113284.0,0.0,,,,0000712534-24-000284,2024-09-18,0,0000712534,FIRST MERCHANTS CORP,0000712534,filer_cik
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Advisory resolution to approve executive compensation,,ISSUER,FOR,FOR,864092.0,864092.0,0.0,,,,0000762152-24-000011,2024-09-18,0,0000762152,STATE OF MICHIGAN RETIREMENT SYSTEM,0000762152,filer_cik
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Election of directors: Linda B. Bammann,,ISSUER,FOR,FOR,6800.0,6800.0,0.0,,S000038959,,0000770200-24-000019,2024-09-18,0,0000770200,Midas Series Trust,S000038959,vote_series
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Election of directors: Stephen B. Burke,,ISSUER,FOR,FOR,6800.0,6800.0,0.0,,S000038959,,0000770200-24-000019,2024-09-18,1,0000770200,Midas Series Trust,S000038959,vote_series
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Election of directors: Todd A. Combs,,ISSUER,FOR,FOR,6800.0,6800.0,0.0,,S000038959,,0000770200-24-000019,2024-09-18,2,0000770200,Midas Series Trust,S000038959,vote_series
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Election of directors: Alicia Boler Davis,,ISSUER,FOR,FOR,6800.0,6800.0,0.0,,S000038959,,0000770200-24-000019,2024-09-18,3,0000770200,Midas Series Trust,S000038959,vote_series
JPMORGAN CHASE & CO.,46625H100,US46625H1005,BBG000DMBXR2,2024-05-21,1,Election of directors: James Dimon,,ISSUER,FOR,FOR,6800.0,6800.0,0.0,,S000038959,,0000770200-24-000019,2024-09-18,4,0000770200,Midas Series Trust,S000038959,vote_series
